,POSITIVE,NEGATIVE
dontjudgeothers,1,0
robustly,5,0
righton,1,0
feminist,34,1
hourandthreequarters,1,0
diverted,1,0
handily,7,0
menagerie,3,0
decadeslater,1,0
correction,1,0
upfront,2,0
fortuitously,3,0
innovated,1,0
pioneered,4,0
perfectionist,3,0
twentyfive,5,0
obscurity,3,1
abstraction,5,1
thrusting,1,0
outoftherut,1,0
interpreted,8,0
kaneit,1,0
reel,31,8
extravagance,7,0
yardstick,2,0
grouping,1,0
composite,3,2
grasped,2,0
photoplay,3,0
adapt,7,1
appearing,8,3
ebullient,6,1
remold,1,0
petty,9,0
tyrant,2,0
tenaciously,1,0
robs,2,5
gregg,9,0
toland,5,0
employed,8,2
confirms,17,5
representative,5,1
flouts,2,0
sleighride,1,0
definite,23,3
sublimity,1,1
equaled,7,0
twentysixyearold,1,0
settled,7,3
unrelenting,18,3
nauseous,2,1
freshly,4,0
kanes,3,0
edifice,1,0
reckless,13,3
radio,7,0
abyme,1,0
refuting,1,0
preposterous,11,14
stagetechnique,1,0
filmconstruction,1,0
totality,5,0
expressionistic,14,0
deepfocus,6,0
recklessness,2,0
labyrinth,71,4
locus,1,0
minotaur,1,0
classified,1,0
uproar,1,0
discovered,16,1
clashing,5,0
randolph,26,0
hearst,1,0
talkedabout,4,0
underestimated,5,0
quarter,12,5
congressional,1,0
wine,10,0
innovation,33,2
precocious,5,3
spellbindingly,3,0
orthodoxy,1,0
dulll,1,0
articulates,7,0
unreeled,1,0
stimulate,3,0
paradox,12,1
scoff,6,0
oversimplification,3,0
auspicious,8,0
collaborated,7,0
shamed,1,0
betrayed,5,2
apotheosis,7,0
advancement,3,1
unavoidable,5,0
yeah,20,3
stimulus,1,0
torna,5,0
assustadoramente,1,0
à,13,2
medida,1,0
tenta,1,1
desvendar,1,0
personalidade,2,1
tolands,4,0
backwards,5,2
megalomania,2,0
15th,6,2
frustrates,2,2
fascinates,5,1
souring,1,0
mediation,3,0
recasts,4,1
hearstlike,1,0
shakespeare,28,2
poorer,1,0
copy,6,16
highlyrated,1,0
practitioner,5,1
institute,4,0
onion,1,0
peeling,3,1
studiosystem,1,0
selecting,5,2
partial,3,1
buick,1,0
cinephilefilmmaker,1,0
productive,4,1
annie,40,4
hall,50,6
littérateur,0,1
embarrassing,3,17
selfrevelation,0,1
bracingly,20,0
adventuresome,4,0
autobiographical,17,0
sexually,8,4
polarized,2,0
sorrowful,10,0
pessimism,5,1
pondering,6,2
strangulated,1,0
murmur,1,0
neurotic,8,4
quoting,2,1
palpitates,1,0
wounded,10,3
purely,49,7
wisecracking,10,2
sleeper,9,0
sophisticate,2,0
delectable,12,0
whisking,1,0
doubtful,2,1
obtrusion,1,0
diversesounding,1,0
shapeless,1,3
ponderous,8,11
pretension,7,6
subliminal,3,1
galatea,1,0
pygmalion,5,0
resigned,4,0
tower,83,6
tossing,5,2
tree,18,6
blossom,8,0
relating,4,1
weeps,1,0
indicated,2,2
solitude,6,1
hopelessness,15,0
fortunately,24,2
ladeda,2,0
catchphrase,3,2
vogue,4,2
diminish,13,0
embellishes,4,0
evaluation,2,0
mid20th,1,0
relaxed,11,2
neurosis,7,0
wannabe,5,11
alvy,3,0
45th,1,0
immeasurably,8,1
exaggerated,9,7
romcom,33,10
tinged,5,1
melancholic,23,0
worldclass,5,0
mannerismslike,1,0
congenital,2,0
inability,10,4
sentencecan,1,0
irritating,8,11
brink,11,1
completeness,3,0
fuzzy,15,2
mildly,14,13
diminutive,3,0
consort,1,0
selfeffacing,6,0
avantgarde,13,1
compensating,2,0
drily,1,0
despairingly,1,0
narcissistic,4,3
consonance,1,1
spacious,2,0
evaporative,1,0
catskills,1,0
tummlers,1,0
anythingforalaugh,1,0
eurocentric,1,0
psychoanalytic,1,0
baring,1,0
disaster,29,60
inhibition,3,0
introspection,11,1
unsuccessful,2,1
dating,5,0
link,18,3
probing,7,1
vagary,3,0
preface,1,0
incorporate,5,0
kneeslapper,1,0
shrugyourshoulderandgrin,1,0
threedimensional,13,2
stock,11,5
thje,1,0
worlda,1,0
structurally,3,2
ragbag,1,1
halfdigested,2,0
trendy,2,1
parlance,1,0
lifelong,7,1
anhedonia,1,0
robbed,3,1
halfbaked,2,12
romanticcomedy,4,0
coincide,1,1
trivialize,1,0
april,5,0
1977,12,2
louis,35,3
marx,33,0
abide,1,0
rawnerved,1,0
incessantly,2,1
oneliner,2,1
zelig,1,0
deadon,4,1
showed,17,4
writerfilmmakercomedian,1,0
directoractorcowriter,1,0
christ,5,1
scruffy,8,1
impoverished,5,0
deem,1,0
4h,1,0
club,13,8
hud,1,0
harper,1,0
hombre,3,0
jackson,176,19
societal,12,1
misfit,10,3
thoughtfulness,9,0
kennedy,5,16
luke,21,1
harkens,5,0
chain,10,2
pierson,5,0
immolation,1,0
captivity,3,0
archetype,17,2
counterculture,4,0
discontent,4,0
hinting,3,1
crucifixion,1,0
carp,2,0
charismatic,47,2
oppression,13,3
swelters,1,0
eclipse,4,0
convict,2,3
hellfire,1,0
newmanlukes,1,0
gulag,1,0
stuart,3,0
rosenbergs,1,0
1967,8,0
muddy,4,3
coated,3,0
torsoflattering,1,0
sentimentally,1,0
humanize,3,1
oftforgotten,1,0
midstream,2,0
assisted,4,0
terriffic,1,0
unofficial,1,0
drew,6,1
fugitive,15,1
quote,11,3
ambivalence,7,0
nonconformity,1,0
caustically,2,0
stillsurviving,1,0
bossbaiter,1,0
submit,6,1
fellowprisoners,1,0
nest,26,5
hereis,1,0
2004,12,4
mocking,9,2
jo,12,0
chaingang,1,0
graced,7,2
nonconformist,1,0
loner,5,0
bullheadedly,1,0
resists,5,2
payne,105,1
loveliness,3,0
messiness,5,0
holdover,129,5
interacting,1,0
alexander,56,1
135,4,0
giamatti,75,0
calm,16,0
presiding,1,2
hemingson,15,0
erudite,4,0
invective,1,0
beautifullywritten,1,1
rapport,17,1
existentially,3,0
miserable,6,8
solace,4,1
marcus,2,1
aurelius,2,0
prickly,6,0
troublesome,3,1
angus,3,1
tic,6,1
prominent,8,2
soulstirring,5,0
upheaval,4,0
predictability,11,3
heavyhandedness,1,0
sessa,22,0
uplift,11,4
suffuse,0,1
manipulation,22,6
fundamentally,14,6
cynical—and,0,1
selfsatisfaction,2,3
paynes,15,0
denied,13,0
digestible,4,0
distance,32,3
davine,8,0
dominic,11,0
1970,7,0
2024,4,1
stranglehold,3,0
agony,18,2
scroogeesque,1,0
unsurprising,4,1
characterdialogue,1,0
tightens,2,0
thwarted,4,2
indignation,2,2
loosens,2,0
unravels,4,1
deceive,1,0
reevaluate,1,0
astringent,4,0
lurch,7,3
sideways,16,0
meshing,2,0
rigidity,3,0
mug,4,3
mulled,1,0
accuse,3,1
ashby,8,0
hopefuly,1,0
staple,15,2
noteperfect,4,0
beg,7,3
haste,2,0
baulk,1,0
misguided,8,11
eagerness,2,1
treacly,4,4
tabasco,1,0
yuletide,3,1
unwatched,1,0
heading,8,2
1970sset,1,0
…a,3,2
xmas…,1,0
january,9,8
droll,14,2
succumb,6,0
chug,2,0
vitamin,1,0
thee,3,2
sunlamp,1,0
wintertime,1,0
boogaloo,1,0
ya,3,0
pretence,4,0
election,8,2
schmidt,1,0
nebraska,2,0
implosion,2,0
reiterates,1,0
unhurried,8,2
cineastes,3,0
bristly,2,0
pariah,6,0
70sifying,1,0
deceives,1,0
declared,8,2
deceitful,2,0
aspires,8,4
companionship,5,0
maudlin,12,2
panoply,1,0
intimation,3,2
identifiable,4,0
doubtless,8,3
heartbroken,1,0
hunhams,1,0
mary,10,2
tully,1,0
vine,5,1
alexandre,1,0
2023,29,1
massachusetts,4,0
belly,15,2
giammati,2,0
irascibility,1,0
giamattidelivery,1,0
byproduct,5,1
unnecessarily,5,3
twohourthirteenminute,1,0
consistency,9,4
consolation,2,0
clichic,1,0
hunham,6,0
warmth—the,1,0
isolation,26,0
inspirational,47,3
platonic,6,0
blended,12,0
barton,3,1
confounds,2,1
foible,9,0
perception,27,1
paternal,4,0
thyself,1,0
leisure,2,0
clenched,5,1
miserly,1,0
annoyance,3,1
putupon,2,0
morethantwohour,1,0
ninth,3,0
unexceptional,2,0
giamatis,1,0
overbearing,4,5
keeneyed,1,0
active,5,1
participant,6,4
hearttugger,2,0
grinchy,2,0
breakfast,4,1
festiveadjacent,1,0
ruler,2,0
inhand,1,0
insofar,2,1
hammering,6,1
wes,8,0
anderson,17,10
bonafides,0,1
phony,2,8
foundational,5,0
topping,15,1
restorative,2,1
laidback,3,0
dissolve,5,1
cerebral,32,5
characterdriven,28,0
downsizing,3,0
hormonal,2,0
barbarian…,1,0
sliceoflife,9,1
snowcovered,1,0
orton,2,0
stunted,1,1
christmasthemed,1,0
resort,8,3
gooeyness,2,0
conflicting,6,1
reunites,3,0
feelgreat,2,0
snowy,5,0
misanthropic,2,0
chip,8,3
pessimist,1,1
humanist,19,0
paen,2,0
vicissitude,3,1
drastically,3,2
analog,9,0
makeshift,4,0
postpandemic,2,0
middlingbudget,1,0
pundit,5,0
runnerup,1,0
coveted,2,1
september,2,0
48th,1,0
toronto,1,1
selfisolation,1,0
selfdestruction,2,1
dysfunction,3,1
unlikeliest,6,0
sour,12,6
weirdly,10,6
reteaming,1,0
foregoes,1,0
seasonal,3,1
jazzed,5,0
glasseyed,1,0
grump,2,0
lupine,1,0
gutsy,11,1
dustin,9,2
hoffman,6,1
onceandfuturemuse,1,0
food,68,7
alwayswonderful,1,0
miserableholiday,1,0
subgenre,17,0
complain,12,1
toa,1,0
schmaltzy,4,1
infuriating,7,2
smarm,2,1
resolving,3,2
strenuous,3,2
allboys,1,0
joyannoyance,1,0
meaninglessness,1,0
13,32,3
fullcircle,1,0
expedition,4,0
contrasting,6,1
welltimed,6,1
disabilities—some,1,0
normalized,1,0
faux,4,1
holly,9,0
jolly,11,0
reunited,3,0
depressed,4,3
coziness,4,0
harshness,3,0
giftwrapped,2,0
affluence,2,0
highbrow,5,2
academia,2,0
sprinkling,4,0
nugget,5,0
poky,1,0
allotted,3,0
hardtippling,1,0
misanthrope,2,0
avenue,9,1
collude,1,0
refract,3,0
seizes,7,0
snowfall,1,0
autumn,5,0
evoke,15,3
trademarked,2,1
organically,7,0
pragmatism,4,0
analyze,6,0
nerd,12,1
pro,18,4
premeditated,1,2
heating,0,1
packet,1,1
mitten,1,1
alternative,20,1
oppressive,13,5
novelistic,6,1
randoolph,1,0
miscreant,2,1
boarding,5,0
disarmingly,8,0
comingofallages,1,0
succumbs,4,2
armistead,1,0
maupin,1,0
biological,1,0
cheerup,1,0
tableau,7,1
dickens,3,0
england,13,2
resuscitates,1,0
attending,2,0
defiantly,9,0
gamut,4,0
againstallodds,1,0
truncated,2,2
subjectivity,3,1
procrustean,0,1
crusty,2,0
wayward,4,3
bartonlevel,1,0
scholar,4,0
glue,5,1
year…,1,0
christmasset,1,0
spiced,3,0
acerbically,1,0
rewatching,5,0
poet,17,0
dividend,3,0
beetling,1,0
goodly,2,0
resenting,1,0
baleful,4,0
heartlifting,1,0
cracked,13,1
christmasmiracle,1,0
thankful,9,1
brew,8,2
irascible,1,0
winter,32,3
collapsing,4,1
anchor,25,1
impromptu,2,0
expanding,12,2
evening,15,3
mpaa,2,0
eigil,2,0
bryld,2,0
cozy,15,0
35millimeter,1,0
exuding,8,1
whiff,5,3
reek,2,2
insincerity,0,1
fool,10,3
honeyed,1,0
cider,1,0
harkening,1,0
programmed,1,0
him…,1,0
schoolset,1,0
societytype,1,0
paynelike,1,0
smoking,6,1
indoors,2,0
handsewn,1,0
outerwear,1,0
numbing,8,8
drafty,1,0
airtight,7,0
outburst,3,0
heals,3,1
reunite,3,0
savoring,2,0
soothing,9,1
yearsit,1,0
crisis,49,3
uncharacteristically,1,0
accentuated,3,0
rushmore,9,0
gruff,8,0
feelbad,2,0
drafted,1,0
vietnam,19,1
throughandthrough,2,0
levity,14,1
imploding,1,0
nerviness,2,0
teacherstudent,2,0
empathetic,27,0
harks,7,0
disliked,3,1
holdoversthis,1,0
constricts,2,0
heavier,6,1
nebulous,0,2
lighten,1,2
cafeteria,1,0
manager,4,0
awardnominated,2,0
unacceptably,1,0
tropey,1,0
easygoing,7,1
concentrated,3,0
rueful,5,0
beamed,1,0
crushingly,3,1
notsodissimilar,1,0
liquor,2,0
store,24,14
genial,10,0
happysad,3,0
fizzle,3,2
underscore,6,1
snark,2,1
promptly,1,0
classic—it,1,0
triedandtrue,4,0
affectionally,1,0
whizbangzoom,1,0
bedrock,4,0
brainscan,1,0
riley,9,0
worldbuilding,14,1
machination,4,1
illuminates,10,0
relook,1,0
swing,28,1
fence,4,0
bangup,3,0
gagwriting,1,0
simplifies,2,0
ronaldo,2,0
carmen,3,1
faculty,2,0
teared,1,0
connects,14,0
looney,7,0
mindy,1,0
kaling,1,0
lewis,20,3
witticism,1,0
tongueincheek,22,1
entendrescombining,1,0
instantly,29,11
brainy,14,0
invoking,1,0
tooinside,1,0
envelope,9,1
kiddy,2,0
mustreads,1,0
educate,5,0
clinical,9,0
tugatyourheartstring,1,0
uprooted,1,0
benefited,6,1
fart,5,16
93,6,1
vividlyimagined,1,0
scuffle,1,1
ageing,9,2
reengaged,1,0
hardworking,3,0
distractingly,3,5
heartstrung,1,0
niagara,1,0
frankie,1,0
stimulates,3,0
stiffened,1,0
codirected,3,0
epistemology,2,0
bittersweetness,1,0
selfreflexive,3,0
thoughprovoking,1,0
liable,2,1
unprepared,1,2
estimation,4,0
cutesy,4,3
sombre,10,0
amongst,16,2
tackled,5,1
crushed,7,0
convert,8,1
subconcious,1,0
imaginationfilled,1,0
scientifically,3,0
emotionfilled,1,0
lasseters,1,0
inteligence,1,0
furtive,1,0
fifteenth,2,0
evidently,4,0
regained,2,1
piloted,1,0
dissatisfaction,3,0
unprecedented,17,0
certainty,8,0
wipe,4,0
pier,1,0
developmental,2,0
amy,28,1
poehlers,1,0
excavating,1,0
implanting,1,0
euphoric,10,0
outright,16,3
therapy,5,4
visualized,6,0
suggested,7,3
theyd,8,4
formative,4,0
devalued,1,0
skip,7,12
premium,6,1
nap,1,4
marble,4,0
glitter,7,1
shower,16,2
pony,2,1
trouble,25,18
childfriendly,1,0
produção,1,0
tematicamente,2,0
ambiciosa,1,0
filmografia,2,0
jung,1,0
rapid,11,2
quasibroadway,1,0
conceptualisation,1,0
goofball,1,1
boyfriend,3,2
lars,2,0
trier,2,0
melancholia,3,0
farfromexceptional,1,0
gentleman,7,1
resumed,2,0
quotidian,7,1
11yearold,4,1
formidably,2,0
sweetest,10,0
powerfulest,1,0
imaginativeest,1,0
importantest,1,0
yoked,2,0
warmand,1,0
tthe,2,1
lovelier,3,0
102,2,0
piled,3,1
landfill,1,0
brainstorm,2,1
fizzing,1,0
universality,11,0
unblemished,2,0
luminously,3,0
megahit,3,0
operationalthis,1,0
qualm,4,0
manipulating,8,0
meaningfully,3,1
top10,1,0
enforced,2,1
optimismthe,1,0
doubted,8,0
nonpreachy,2,0
tearing,7,0
rileyness,1,0
subtextual,2,0
crafty,14,1
prettily,1,1
moodmoving,1,0
joyously,10,0
docters,13,0
2004s,3,0
escalating,7,0
carmens,1,0
health,10,0
whizzing,2,0
irrepressibly,1,0
daddy,8,21
monkey,8,6
gorilla,6,2
therapist,5,1
bendix,1,0
operate,6,1
cash,9,10
entertainingly,16,0
unleash,8,1
mia,7,1
puberty,1,1
idiotic,7,15
hassle,1,0
surcharge,1,0
noticing,2,1
stoic,7,0
blubbering,2,0
nearmasterpiece,6,0
delighting,6,0
mapping,1,0
consulting,1,0
neuroscientist,1,0
ozstyle,1,0
brighthued,2,0
solely,7,7
adolescent,33,7
freudian,8,0
jungian,3,0
byplay,2,0
ok,20,5
drain,3,5
faucet,0,1
bummed,2,1
ought,19,8
mvp,3,0
bing,1,0
allages,6,0
maturely,2,0
americanproduced,1,0
tomorrowland,1,0
heartwrenchingly,3,0
doldrums,5,0
university,3,0
homer,4,0
messageheavy,1,1
coping,3,0
manically,4,0
overstuffed,18,7
cheering,18,0
esteemed,2,0
brake,4,0
solar,2,0
plexus,2,0
weeping,7,1
inversion,4,0
prescription,2,0
openhearted,6,0
gnarliness,1,0
opposite,20,9
healing,20,1
coproduction,0,1
stretched,8,12
11yearolds,1,0
jurassic,5,0
seethe,1,0
recoil,3,1
freeze,3,0
shooin,4,1
acquainted,4,1
juggling,11,0
winding,8,0
aliceinwonderlandish,1,0
keeper,6,0
tworun,1,0
personified,1,1
psychologist,2,1
infantilized,1,1
preoccupation,9,2
ronnie,1,0
defense,13,0
brass,5,1
unmarketable,1,0
cognitive,3,0
periodically,7,0
tend,14,4
villaina,1,0
wounding,2,0
receptive,1,0
sparking,4,0
association,7,3
mired,4,0
continuesimaginative,1,0
headtrip,2,0
primarily,24,8
conceptually,4,2
toll,6,0
frail,3,0
dibs,1,0
uproariously,3,0
brushing,1,0
neurological,1,0
executes,12,1
tearductdraining,1,0
exhaustingly,2,0
mindopener,1,0
mindbending,7,0
revives,9,0
scratching,3,1
wondering,27,14
choked,4,0
gutting,1,0
shortage,4,0
passionately,6,1
lunacy,13,3
gauge,2,0
blowing,11,3
devised,8,1
timea,1,0
rogers,168,9
gratifying,20,1
surreptitiously,2,0
wellbeing,1,0
duke,27,5
disarmed,1,0
candycoloured,2,0
reliably,9,5
levelscaptivating,1,0
adultsthat,1,0
numbskulls,1,0
adjacent,2,0
…dr,1,0
strangelove,29,2
seller,25,1
advantage…,2,0
kubrick,106,3
doomsday,5,0
gamble,16,0
resulted,4,0
braver,1,0
sellars,1,0
primed,3,1
worrying,6,2
cancer,3,11
carping,4,0
dehumanization,3,0
strategist,1,0
casualty,4,2
armageddon,3,0
withered,2,0
queasy,12,1
mushroom,3,0
vera,4,0
lynns,1,0
underscoring,4,0
ceased,1,0
terrifyingly,8,1
farther,3,1
eloquently,5,0
failsafe,1,0
shaking,13,2
arch,5,2
deadpan,36,0
ridiculousness,7,8
fiftytwo,1,0
indie,45,4
coldwar,2,0
systemised,1,0
madness,51,7
dilute,5,1
missile,1,0
spotty,0,1
whopping,4,1
nucleardoomsday,1,0
frighteningly,16,3
annihilation,9,15
dubious,14,7
deterrent,1,0
morbidly,5,0
impotently,1,0
strangeloves,1,0
confirmed,2,0
beatsick,1,0
irreverence,7,0
retracted,1,0
presenteia,1,0
pérola,1,0
negro,3,0
critica,1,0
acidamente,1,0
guerras,1,0
mediocridade,1,0
homens,3,0
trás,1,0
destas,1,0
contemptuous,1,2
ny,3,0
crowther,1,0
neocon,1,0
stupidity,4,17
wedded,2,1
supposedly,5,9
humourless,1,2
40yearold,4,0
politalcomedy,1,0
ponders,4,0
endoftheworld,2,1
vernacular,6,0
superpower,6,0
reissue,7,0
attest,1,0
reseen,3,0
dissected,2,1
iconized,1,0
grokked,1,0
stopped,7,5
putdown,3,0
paranoiac,1,0
giggly,1,1
nihilism,7,3
classifiable,2,0
triple,4,0
shameful,10,2
overwhelmingly,6,1
hypermasculine,1,0
funnyand,2,0
nightmarishly,1,0
antiwar,46,0
unequalled,5,0
deaf,11,1
producerdirector,6,0
comedyfantasy,2,0
undoubtably,1,0
isolating,2,0
swedish,24,1
tomas,12,0
alfredson,7,0
unwelcoming,1,0
decalogue,1,0
disruptive,4,0
queer,21,1
vampire,71,37
fang,3,1
believably,12,0
snowscapes,1,0
sweden,5,1
underscored,5,0
bloodandguts,1,0
filmthe,1,0
eli,7,2
elis,1,0
vampirism,4,0
oskars,1,0
copping,1,0
exaggerating,3,1
75,13,3
sympathize,4,1
alienation,14,0
alfredsons,11,0
bullied,6,0
twelveyearold,1,0
kåre,2,0
hedebrant,3,0
lina,3,0
leandersson,3,0
unsettlingly,3,0
anaemic,1,1
transfusion,1,0
grislier,1,0
twilight,18,21
bevy,2,0
burning,21,3
engulfing,3,0
mesmerised,1,0
finished,21,4
frankness,5,0
incomplete,5,4
genderline,1,0
bloodsucker,3,1
wellchewed,1,0
rice,3,1
stephen,7,5
ajvide,3,0
lindqvists,4,0
countryman,1,0
película,7,1
bellísima,1,0
formulación,1,0
narrada,1,0
sorprendente,2,0
precisión,1,0
historia,12,0
amor,3,2
amistad,4,0
entre,8,1
solitarios,1,0
vampiros,1,0
definitivamente,1,0
recomendable,2,0
quienes,2,0
busquen,1,0
svim,1,0
hororfanovima,1,0
koji,1,0
ne,6,1
podnose,1,0
sumrak,1,0
ovaj,1,0
u0107e,1,0
dou0107i,1,0
kao,1,0
melem,1,0
ljutu,1,0
ranu,1,0
acaba,2,0
funcionando,1,0
também,5,0
contundente,1,0
alegoria,2,0
sobre,19,0
imprevisibilidade,1,0
natureza,4,0
imensa,1,0
diversidade,1,0
monstros,1,0
infinitamente,1,0
piores,1,0
aqueles,3,0
longos,1,0
caninos,1,0
starryeyed,4,0
marginalised,3,0
boiling,4,2
morrissey,1,1
guillermo,28,0
toros,35,1
cronos,1,0
grimy,8,1
stamen,8,1
arterial,1,0
doubleness,1,0
pubescence,1,0
clinch,1,2
inhuman,12,0
toetotoe,3,0
beehive,2,0
orphee,1,0
bruised,5,0
tentative,5,0
12yearold,6,2
corpse,5,4
shady,2,0
nervejangling,6,0
nourish,2,1
gland,2,1
cloak,4,1
hem,2,0
filmif,1,0
genderbending,3,0
reinterpreting,3,0
devoted,22,7
outcast,5,0
predatory,7,0
ingmar,6,2
twelveyearolds,2,0
sparse,9,0
nordic,1,1
stilted,5,11
crush,8,2
pitiless,11,1
bloodlust,5,0
niche,15,3
discerning,6,0
irresistibility,2,0
amalgam,6,2
calmest,2,0
unfathomable,16,0
shallow,18,15
acquired,3,0
creep,14,0
formalistic,1,0
heartbeat,14,1
sniffling,1,0
antitwilight,1,0
2008,36,7
thanklessness,1,0
constancy,1,1
longdistance,1,0
impenetrable,6,3
underaged,1,0
prom,2,0
1922,2,0
nosferatu,3,0
darkminded,1,0
undead,11,2
laconic,7,0
amateurish,4,12
implies,11,5
moodily,1,0
ritual,9,2
fearinducing,1,0
aching,12,2
marred,10,3
summarized,2,1
sumup,1,0
zero,8,10
gemlike,4,0
bloodstone,1,0
moodiness,3,1
remove,12,4
performing,6,4
deed,18,1
anothers,5,2
smeared,2,0
soften,3,0
entwined,2,0
improbably,9,0
itbut,1,0
supplied,6,0
genrehood,1,0
mentally,7,1
pigeonhole,1,0
idiom,4,0
inhabits,11,0
conquer,7,1
beallendall,1,0
freshening,1,0
couch,5,2
bodily,0,6
preference,3,2
halloween,35,6
insultingly,1,4
forcefed,2,0
undercut,10,8
bounce,13,2
jeep,1,0
12yearolds,1,0
lullaby,2,0
grimm,8,0
swedenseriously,1,0
hoyte,3,0
hoytemas,1,0
hbos,1,0
vampiric,1,2
intuit,0,1
unhappiness,2,0
boogeyman,4,1
terrify,3,2
endear,2,0
headscratcher,0,1
infuse,6,1
ravenous,3,0
smalltown,17,0
novelistscreenwriter,1,0
terminaldisease,1,0
medicament,1,0
tome,5,1
rekindles,3,0
helmed,11,1
classicinthemaking,1,0
talked,13,0
overkill,8,5
badly,13,35
tribeca,1,0
lat,1,0
rätte,1,0
komma,1,0
fiendishly,12,1
multilevel,2,0
wishfulfillment,5,0
euroarty,1,0
darling,9,0
kare,1,0
fellowship,43,3
43,8,18
helm,20,1
dizzyingly,10,0
coherency,1,0
nontolkienites,1,0
colossal,13,8
skirmish,3,0
mud,6,1
fog,6,18
agree,16,7
differ,1,0
ents,1,1
tolkien,56,4
swordandsorcery,1,2
30odd,1,0
attained,4,0
eyeful,1,0
battlepiece,1,0
eisenstein,13,0
ivan,3,0
ian,14,0
mckellen,4,0
gandalf,6,0
gollum,10,0
smeagol,1,0
geographically,2,0
januslike,1,0
shire,1,0
doom,13,3
reinforcement,1,0
descending,7,2
nearvertical,1,0
slope,2,0
snowboard,1,0
rampage,3,2
glimpsed,5,0
olivier,8,6
buzzing,4,0
gollums,4,0
specialeffects,11,4
teaser,3,0
aragorns,1,0
straightahead,1,0
substituting,2,0
brawling,2,0
pastoral,4,0
radiance,2,0
considerably,13,2
mystique,2,2
unsullied,1,0
feisty,7,1
disffers,1,0
serkiss,2,0
honorary,2,0
software,3,0
homicidal,4,0
maniac,6,0
logistics,5,1
edition,16,0
